[2025-06-24 21:23:35,655: INFO: main: Logging is implemented]
[2025-06-27 15:16:55,259: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-27 15:16:55,259: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-27 15:28:21,411: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-27 15:28:21,414: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-27 15:28:21,419: INFO: common: created directory at: artifacts]
[2025-06-27 15:28:21,422: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-27 15:28:24,554: INFO: 227420655: File is downloaded]
[2025-06-27 15:39:05,682: INFO: main: stage Data Ingestion stage initiated]
[2025-06-27 15:39:05,684: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-06-27 15:39:05,686: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-27 15:39:05,688: INFO: common: created directory at: artifacts]
[2025-06-27 15:39:05,688: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-27 15:39:07,915: INFO: data_ingestion: File is downloaded]
[2025-06-27 15:39:08,113: INFO: main: Stage Data Ingestion stage Completed]
